,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Trompetvej 4,8940",2.395.000 kr.,Søndermarkskolen,342 m,6.8,3.8,Villa,Energimærke C,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 26 dage,135 m²,Ejerudg.: 2.214 kr/md,,4 værelser,Opført 1974,2 toiletter,,,8940,https://www.boligsiden.dk/addresses/0a3f50c1-45b0-32b8-e044-0003ba298018,Grund: 801 m²,
"Solsikkevej 9,7280",1.295.000 kr.,Sdr.  Felding Skole og Børneunivers,539 m,6.7,3.7,Villa,Energimærke C,Meget lav,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 823 dage,230 m²,Ejerudg.: 1.195 kr/md,,5 værelser,Opført 1973,3 toiletter,,,7280,https://www.boligsiden.dk/addresses/0a3f50bf-5e6a-32b8-e044-0003ba298018,Grund: 725 m²,
"Nørrevænget 1,6091",450.000 kr.,Sdr. Bjert Skole,578 m,8,3.9,Villa,Energimærke G,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 26 dage,88 m²,Ejerudg.: 1.546 kr/md,,6 værelser,Opført 1800,2 toiletter,,,6091,https://www.boligsiden.dk/addresses/0a3f50bc-2ab6-32b8-e044-0003ba298018,Grund: 569 m²,
"Irisvej 18,3650",4.495.000 kr.,Ølstykke Skole,908 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,7%","23,98‰.","Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",Til salg i alt: 26 dage,173 m²,Ejerudg.: 3.617 kr/md,,6 værelser,Opført 1971,2 toiletter,,,3650,https://www.boligsiden.dk/addresses/0a3f50aa-b91d-32b8-e044-0003ba298018,Grund: 707 m²,
"Fredensvej 4B, 1.,8960",1.995.000 kr.,Kristrup Skole,"1,01 km",6.7,3.7,Ejerlejlighed,Energimærke D,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 184 dage,119 m²,Ejerudg.: 1.466 kr/md,Elevator: Nej,5 værelser,Opført 1900,2 toiletter,Altan: Nej,Terrasse: Nej,8960,https://www.boligsiden.dk/addresses/0a3f50c0-e795-32b8-e044-0003ba298018,,
"Blåmejsevej 17,8464",3.648.000 kr.,Gyvelhøjskolen,762 m,7.2,3.7,Villa,Energimærke C,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 26 dage,182 m²,Ejerudg.: 2.905 kr/md,,6 værelser,Opført 1998,2 toiletter,,,8464,https://www.boligsiden.dk/addresses/0a3f50bf-9e78-32b8-e044-0003ba298018,Grund: 743 m²,
"Birkevænget 18,4540",2.195.000 kr.,Fårevejle Skole,707 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 189 dage,174 m²,Ejerudg.: 1.761 kr/md,,5 værelser,Opført 1973,1 toilet,,,4540,https://www.boligsiden.dk/addresses/0a3f50ac-aede-32b8-e044-0003ba298018,Grund: 825 m²,
"Grenåvej 784,8541",2.645.000 kr.,Skødstrup Skole,"1,08 km",7.7,3.7,Villa,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 26 dage,110 m²,Ejerudg.: 2.801 kr/md,,4 værelser,Opført 1956,1 toilet,,,8541,https://www.boligsiden.dk/addresses/0a3f50c2-f244-32b8-e044-0003ba298018,Grund: 1358 m²,
"Sverigesgade 1, 2.,9000",1.795.000 kr.,Sønderbroskolen,939 m,7.2,3.8,Ejerlejlighed,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 53 dage,95 m²,Ejerudg.: 3.168 kr/md,Elevator: Nej,3 værelser,Opført 1921,1 toilet,Altan: Nej,Terrasse: Nej,9000,https://www.boligsiden.dk/addresses/0a3f50ca-ceec-32b8-e044-0003ba298018,,
"Villavej 44,6800",1.398.000 kr.,Lykkesgårdskolen,372 m,7.1,3.8,Villa,Energimærke G,Lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 26 dage,116 m²,Ejerudg.: 1.640 kr/md,,4 værelser,Opført 1958,1 toilet,,,6800,https://www.boligsiden.dk/addresses/0a3f50ba-047a-32b8-e044-0003ba298018,Grund: 788 m²,
"Rørsangervej 2,9550",1.595.000 kr.,Assens Skole,603 m,6.3,3.7,Villa,Energimærke B,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 26 dage,152 m²,Ejerudg.: 1.150 kr/md,,5 værelser,Opført 2007,2 toiletter,,,9550,https://www.boligsiden.dk/addresses/282eb622-4313-351f-e044-0003ba298018,Grund: 757 m²,
"Bymarken 4,4130",3.800.000 kr.,"Viby Skole, afdeling Ørstedvej",607 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget høj,"25,2%","25,69‰.","Der er 89.447 indbyggere i Roskilde Kommune. Kommuneskatten er på 25,2% og grundskyldspromillen på 25,69‰.",Til salg i alt: 26 dage,182 m²,Ejerudg.: 3.078 kr/md,,6 værelser,Opført 1977,3 toiletter,,,4130,https://www.boligsiden.dk/addresses/0a3f50ab-b2d9-32b8-e044-0003ba298018,Grund: 730 m²,
"Bredgade 42,7760",950.000 kr.,Hurup Skole,"1,06 km",7,3.7,Villa,Energimærke E,Mellem,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 194 dage,162 m²,Ejerudg.: 1.099 kr/md,,6 værelser,Opført 1912,2 toiletter,,,7760,https://www.boligsiden.dk/addresses/0a3f50c5-e6d8-32b8-e044-0003ba298018,Grund: 1169 m²,
"Strandstræde 32,2791",9.250.000 kr.,Dragør Skole,327 m,8.1,3.8,Villa,Energimærke D,Mellem,"24,8%","24,47‰.","Der er 14.640 indbyggere i Dragør Kommune. Kommuneskatten er på 24,8% og grundskyldspromillen på 24,47‰.",Til salg i alt: 26 dage,161 m²,Ejerudg.: 7.220 kr/md,,6 værelser,Opført 1775,2 toiletter,,,2791,https://www.boligsiden.dk/addresses/0a3f50a3-94a6-32b8-e044-0003ba298018,Grund: 138 m²,
"Odensevej 58,5540",2.795.000 kr.,Vibeskolen,"2,34 km",6.5,3.7,Villa,Energimærke C,Høj,"26,3%","27,83‰.","Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",Til salg i alt: 26 dage,299 m²,Ejerudg.: 2.581 kr/md,,5 værelser,Opført 2017,2 toiletter,,,5540,https://www.boligsiden.dk/addresses/0a3f50b5-fc65-32b8-e044-0003ba298018,Grund: 23708 m²,
"Badmintonvej 55,9230",2.195.000 kr.,Svenstrup Skole,"1,17 km",7.6,3.7,Villa,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 26 dage,147 m²,Ejerudg.: 2.408 kr/md,,5 værelser,Opført 1970,2 toiletter,,,9230,https://www.boligsiden.dk/addresses/0a3f50c9-ba31-32b8-e044-0003ba298018,Grund: 776 m²,
"Markedsgade 1, 3. th.,4300",2.795.000 kr.,"Nordvestsjællands Erhvervs- og Gymnasieuddannelser, 10. klasse, Holbæk",825 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke D,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 109 dage,123 m²,Ejerudg.: 3.032 kr/md,Elevator: Nej,6 værelser,Opført 1949,1 toilet,Altan: Nej,Terrasse: Nej,4300,https://www.boligsiden.dk/addresses/0a3f50ad-5640-32b8-e044-0003ba298018,,
"Skovgårde Bygade 1,8400",1.395.000 kr.,Rosmus Skole,"4,84 km",7.3,3.8,Villa/Fritidsbolig,Energimærke F,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 26 dage,70 m²,Ejerudg.: 1.152 kr/md,,3 værelser,Opført 1800,1 toilet,,,8400,https://www.boligsiden.dk/addresses/0a3f50bf-8ed4-32b8-e044-0003ba298018,Grund: 746 m²,
"Drejøgade 29,5000",7.400.000 kr.,Sct Hans Skole,547 m,7.1,3.7,Villa,Energimærke A2015,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 26 dage,163 m²,Ejerudg.: 3.970 kr/md,,4 værelser,Opført 2017,2 toiletter,,,5000,https://www.boligsiden.dk/addresses/0a3f50b4-fbb6-32b8-e044-0003ba298018,Grund: 1029 m²,
"Vejlebrovej 36, 2. th.,2635",1.885.000 kr.,Vejlebroskolen,710 m,6.1,3.6,Ejerlejlighed,Energimærke D,Mellem,25%,25‰.,Der er 23.225 indbyggere i Ishøj Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 26 dage,68 m²,Ejerudg.: 3.103 kr/md,Elevator: Nej,2 værelser,Opført 1970,1 toilet,Altan: Ja,Terrasse: Nej,2635,https://www.boligsiden.dk/addresses/0a3f50a7-1b10-32b8-e044-0003ba298018,,
"Merianvej 12,2900",7.695.000 kr.,Dyssegårdsskolen,469 m,8.4,3.8,Villa,Energimærke E,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 26 dage,96 m²,Ejerudg.: 4.867 kr/md,,4 værelser,Opført 1929,3 toiletter,,,2900,https://www.boligsiden.dk/addresses/0a3f50a3-e477-32b8-e044-0003ba298018,Grund: 463 m²,
"Klosterhedevej 18,2770",4.398.000 kr.,Løjtegårdsskolen,910 m,7.3,3.7,Villa,Energimærke E,Mellem,"23,1%",24‰.,"Der er 42.723 indbyggere i Tårnby Kommune. Kommuneskatten er på 23,1% og grundskyldspromillen på 24‰.",Til salg i alt: 26 dage,88 m²,Ejerudg.: 3.867 kr/md,,3 værelser,Opført 1978,2 toiletter,,,2770,https://www.boligsiden.dk/addresses/0a3f50a7-4fbe-32b8-e044-0003ba298018,Grund: 702 m²,
"Svalmstrupvej 21,4174",1.825.000 kr.,Vigersted Skole,"7,44 km",6.9,3.6,Villa,Energimærke E,Meget høj,"26,1%","24,74‰.","Der er 35.141 indbyggere i Ringsted Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 24,74‰.",Til salg i alt: 26 dage,109 m²,Ejerudg.: 1.997 kr/md,,4 værelser,Opført 1927,1 toilet,,,4174,https://www.boligsiden.dk/addresses/0a3f50ae-5433-32b8-e044-0003ba298018,Grund: 1172 m²,
"Skeldevej 63,6310",1.295.000 kr.,Broager Skole,"4,66 km",7,3.7,Villa,Energimærke C,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 165 dage,161 m²,Ejerudg.: 1.087 kr/md,,5 værelser,Opført 1890,1 toilet,,,6310,https://www.boligsiden.dk/addresses/0a3f50b6-6db1-32b8-e044-0003ba298018,Grund: 1669 m²,
"Rosengården 135,3250",1.995.000 kr.,"Gilbjergskolen, Gilleleje","1,16 km",6.8,3.7,Rækkehus,Energimærke E,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 210 dage,72 m²,Ejerudg.: 2.109 kr/md,,2 værelser,Opført 1979,1 toilet,,,3250,https://www.boligsiden.dk/addresses/0a3f50a8-d345-32b8-e044-0003ba298018,Grund: 176 m²,
"Strubjerg 138, 2.,9400",1.095.000 kr.,Gl Lindholm Skole,968 m,6.9,3.7,Ejerlejlighed,Energimærke B,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 26 dage,102 m²,Ejerudg.: 2.038 kr/md,Elevator: Nej,3 værelser,Opført 1979,1 toilet,Altan: Ja,Terrasse: Nej,9400,https://www.boligsiden.dk/addresses/0a3f50ca-c99f-32b8-e044-0003ba298018,,
"Klintevænget 4,4681",3.195.000 kr.,Herfølge Skole,859 m,6.8,3.7,Villa,Energimærke D,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 26 dage,126 m²,Ejerudg.: 2.393 kr/md,,4 værelser,Opført 1977,2 toiletter,,,4681,https://www.boligsiden.dk/addresses/0a3f50ab-7583-32b8-e044-0003ba298018,Grund: 840 m²,
"Meklenborggade 9, 1. th.,2300",4.295.000 kr.,Lergravsparkens Skole,159 m,6.9,3.7,Ejerlejlighed,Energimærke A2015,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 26 dage,76 m²,Ejerudg.: 3.734 kr/md,Elevator: Ja,3 værelser,Opført 2019,1 toilet,Altan: Ja,Terrasse: Nej,2300,https://www.boligsiden.dk/addresses/fefd0537-7660-4ba9-a5d3-11fcf2595579,,
"Niels Juels Gade 72, 1.,8200",2.248.000 kr.,Skovvangskolen,654 m,7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 26 dage,56 m²,Ejerudg.: 3.004 kr/md,Elevator: Nej,2 værelser,Opført 1901,1 toilet,Altan: Nej,Terrasse: Nej,8200,https://www.boligsiden.dk/addresses/0a3f50c3-b65c-32b8-e044-0003ba298018,,
"Marienborgvej 3,9510",795.000 kr.,Arden Skole,"4,27 km",6.8,3.8,Villa,Energimærke G,Lav,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 26 dage,245 m²,Ejerudg.: 2.121 kr/md,,7 værelser,Opført 1937,2 toiletter,,,9510,https://www.boligsiden.dk/addresses/0a3f50c6-c127-32b8-e044-0003ba298018,Grund: 4566 m²,
"Essingen 30,3070",4.695.000 kr.,Snekkersten Skole,577 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke B,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 26 dage,113 m²,Ejerudg.: 4.186 kr/md,,4 værelser,Opført 1998,2 toiletter,,,3070,https://www.boligsiden.dk/addresses/0a3f50a9-2ef5-32b8-e044-0003ba298018,Grund: 389 m²,
"Nicolajs Have 30,9430",4.195.000 kr.,Biersted Skole,"4,13 km",7.2,3.7,Villa,Energimærke A2015,Meget lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 26 dage,196 m²,Ejerudg.: 2.435 kr/md,,6 værelser,Opført 2020,2 toiletter,,,9430,https://www.boligsiden.dk/addresses/cfdba8cc-0fa3-43c3-8bda-a4297e480474,Grund: 930 m²,
"Novembervej 11, st. tv.,2860",1.995.000 kr.,Mørkhøj Skole,464 m,6.6,3.6,Ejerlejlighed,Energimærke E,Lav,"23,6%",23‰.,"Der er 69.259 indbyggere i Gladsaxe Kommune. Kommuneskatten er på 23,6% og grundskyldspromillen på 23‰.",Til salg i alt: 26 dage,55 m²,Ejerudg.: 2.570 kr/md,Elevator: Nej,2 værelser,Opført 1958,1 toilet,Altan: Ja,Terrasse: Nej,2860,https://www.boligsiden.dk/addresses/0a3f50a4-71c9-32b8-e044-0003ba298018,,
"Impgårdvej 3A,8620",1.045.000 kr.,Thorning Skole,"1,86 km",6.8,3.6,Villa,Energimærke F,Mellem,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 152 dage,90 m²,Ejerudg.: 1.725 kr/md,,3 værelser,Opført 1961,1 toilet,,,8620,https://www.boligsiden.dk/addresses/0a3f50c5-26b5-32b8-e044-0003ba298018,Grund: 9628 m²,
"Brandholms Alle 28B, 2. tv.,2610",1.995.000 kr.,Valhøj Skole,171 m,7,3.7,Ejerlejlighed,Energimærke D,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 237 dage,56 m²,Ejerudg.: 3.497 kr/md,Elevator: Nej,2 værelser,Opført 1961,1 toilet,Altan: Nej,Terrasse: Nej,2610,https://www.boligsiden.dk/addresses/0a3f50a6-8113-32b8-e044-0003ba298018,,
"Jungshovedvej 68,4720",1.095.000 kr.,Præstø skole,"6,07 km",6.8,3.7,Villa,Energimærke C,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 26 dage,146 m²,Ejerudg.: 1.397 kr/md,,5 værelser,Opført 1960,2 toiletter,,,4720,https://www.boligsiden.dk/addresses/0a3f50b0-f05f-32b8-e044-0003ba298018,Grund: 1004 m²,
"Denderupvej 16,4690",1.095.000 kr.,"Ny-Øst, Møllevangsskolen","5,54 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke D,Høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 26 dage,181 m²,Ejerudg.: 2.706 kr/md,,6 værelser,Opført 1857,2 toiletter,,,4690,https://www.boligsiden.dk/addresses/0a3f50b1-2a00-32b8-e044-0003ba298018,Grund: 1094 m²,
"Koldingvej 432,7100",1.995.000 kr.,Søndermarksskolen,"4,24 km",6.9,3.8,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 26 dage,186 m²,Ejerudg.: 2.054 kr/md,,4 værelser,Opført 1905,1 toilet,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-ce42-32b8-e044-0003ba298018,Grund: 692 m²,
"Præstemarken 39,8653",1.495.000 kr.,Frisholm Skole,"1,15 km",7.3,3.7,Rækkehus,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 26 dage,125 m²,Ejerudg.: 2.293 kr/md,,4 værelser,Opført 1976,1 toilet,,,8653,https://www.boligsiden.dk/addresses/0a3f50c2-5e03-32b8-e044-0003ba298018,Grund: 746 m²,
"Marbæk Park 59,2750",3.795.000 kr.,Hedegårdsskolen,928 m,6.9,3.8,Rækkehus,Energimærke A2010,Mellem,"25,5%","28,89‰.","Der er 49.274 indbyggere i Ballerup Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,89‰.",Til salg i alt: 26 dage,108 m²,Ejerudg.: 2.607 kr/md,,4 værelser,Opført 2006,2 toiletter,,,2750,https://www.boligsiden.dk/addresses/1369ec0c-f1b7-5517-e044-0003ba298018,Grund: 157 m²,
"Kongeåvej 61,6600",2.295.000 kr.,Grønvangskolen,"5,41 km",7.2,3.8,Landejendom/Villa,Energimærke D,Høj,"25,33%","20,36‰.","Der er 42.596 indbyggere i Vejen Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 20,36‰.",Til salg i alt: 26 dage,174 m²,Ejerudg.: 1.891 kr/md,,6 værelser,Opført 1870,2 toiletter,,,6600,https://www.boligsiden.dk/addresses/3cb0a0c6-3692-0e4a-e044-0003ba298018,Grund: 36336 m²,
"Rendsagervej 102,2625",4.149.000 kr.,Pilehaveskolen,631 m,7.4,3.7,Villa,Energimærke D,Mellem,"25,6%","24,38‰.","Der er 16.488 indbyggere i Vallensbæk Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 24,38‰.",Til salg i alt: 26 dage,134 m²,Ejerudg.: 4.945 kr/md,,4 værelser,Opført 1972,2 toiletter,,,2625,https://www.boligsiden.dk/addresses/0a3f50a7-8a16-32b8-e044-0003ba298018,Grund: 687 m²,
"Guldsmedestræde 14,2640",3.900.000 kr.,Læringshuset,85 m,6.5,3.4,Rækkehus,Energimærke A2015,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 26 dage,122 m²,Ejerudg.: 2.974 kr/md,,4 værelser,Opført 2021,2 toiletter,,,2640,https://www.boligsiden.dk/addresses/e5ddc3b1-62cf-4ab5-8d1e-2eb9731d571c,Grund: 125 m²,
"Holmelund 30,5560",2.795.000 kr.,Aarupskolen,912 m,7.1,3.7,Villa,Energimærke C,Høj,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 26 dage,322 m²,Ejerudg.: 2.424 kr/md,,7 værelser,Opført 1910,2 toiletter,,,5560,https://www.boligsiden.dk/addresses/0a3f50b6-3618-32b8-e044-0003ba298018,Grund: 1311 m²,
"Maglegårdsvej 505,3480",3.825.000 kr.,Endrupskolen,"1,1 km",8.4,3.8,Rækkehus,Energimærke C,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 26 dage,117 m²,Ejerudg.: 3.652 kr/md,,4 værelser,Opført 1986,2 toiletter,,,3480,https://www.boligsiden.dk/addresses/0a3f50a8-38f2-32b8-e044-0003ba298018,Grund: 716 m²,
"Grejsdalsvej 81,7100",2.600.000 kr.,Petersmindeskolen,"1,37 km",7.1,3.8,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 26 dage,118 m²,Ejerudg.: 2.023 kr/md,,4 værelser,Opført 1896,1 toilet,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-b6d2-32b8-e044-0003ba298018,Grund: 550 m²,
"Ryesgade 38A,8680",3.595.000 kr.,Mølleskolen,"4,51 km",7.9,3.9,Villa,Energimærke A2015,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 26 dage,132 m²,Ejerudg.: 2.637 kr/md,,3 værelser,Opført 2017,2 toiletter,,,8680,https://www.boligsiden.dk/addresses/374230b7-1ce3-51c5-e044-0003ba298018,Grund: 750 m²,
"Løvstien 4,8530",4.795.000 kr.,Virupskolen,658 m,7.9,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 26 dage,174 m²,Ejerudg.: 3.619 kr/md,,7 værelser,Opført 1968,1 toilet,,,8530,https://www.boligsiden.dk/addresses/0a3f50c3-965c-32b8-e044-0003ba298018,Grund: 836 m²,
"Christoffers Alle 88A, st. mf.,2800",2.100.000 kr.,Vadgård Skole,500 m,7,3.7,Ejerlejlighed,Energimærke E,Lav,"23,6%",23‰.,"Der er 69.259 indbyggere i Gladsaxe Kommune. Kommuneskatten er på 23,6% og grundskyldspromillen på 23‰.",Til salg i alt: 26 dage,42 m²,Ejerudg.: 3.277 kr/md,Elevator: Nej,2 værelser,Opført 1942,1 toilet,Altan: Ja,Terrasse: Nej,2800,https://www.boligsiden.dk/addresses/0a3f50a4-3b09-32b8-e044-0003ba298018,,
"Egevej 14,3400",6.495.000 kr.,Hillerødsholmskolen,335 m,7.3,3.7,Villa,Energimærke C,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 26 dage,212 m²,Ejerudg.: 4.081 kr/md,,7 værelser,Opført 1961,2 toiletter,,,3400,https://www.boligsiden.dk/addresses/0a3f50a9-a61e-32b8-e044-0003ba298018,Grund: 1077 m²,
"Gammel Køge Landevej 268, 1. d.,2650",1.745.000 kr.,Risbjergskolen,650 m,7.3,3.7,Ejerlejlighed,Energimærke C,Høj,"25,4%","29,7‰.","Der er 53.267 indbyggere i Hvidovre Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,7‰.",Til salg i alt: 26 dage,52 m²,Ejerudg.: 2.406 kr/md,Elevator: Nej,2 værelser,Opført 1966,1 toilet,Altan: Nej,Terrasse: Nej,2650,https://www.boligsiden.dk/addresses/0a3f50a5-5a85-32b8-e044-0003ba298018,,
"Storgårdsvej 22,4690",1.795.000 kr.,"Ny-Vest, Terslev Skole","1,36 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 193 dage,155 m²,Ejerudg.: 2.413 kr/md,,4 værelser,Opført 1981,2 toiletter,,,4690,https://www.boligsiden.dk/addresses/0a3f50ad-1e5b-32b8-e044-0003ba298018,Grund: 1087 m²,
"Jægergårdsgade 88, 1. th.,8000",2.575.000 kr.,Frederiksbjerg Skole,419 m,7.7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 26 dage,49 m²,Ejerudg.: 3.063 kr/md,Elevator: Nej,2 værelser,Opført 1891,1 toilet,Altan: Nej,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/0a3f50c3-54ae-32b8-e044-0003ba298018,,
