Ydertype;Speciale;Ydernr;titelpost;System;Praksisbetegnelse;Adresse;Postnr;Post_navn;Amt;navn;Lokationsnr;Telefonnr_1
10;80;198366;;;Camille Højrup Ottosen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;31401670
10;80;198374;;;Sara Søndergaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60121653
10;80;198390;;;Jørgen Peter Jensenius Kludt;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;21250036
10;80;198412;;;Camilla Wulff;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22871108
10;80;198420;;;Lotte Vinther Kiefer;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29615629
10;80;198439;;;Anne-Marie Raadshøj Planck;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40543495
10;80;198447;;;Helga Fogtmann Have;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20990185
10;80;198455;;;Christian Hellström Back;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30273037
10;80;198463;;;Sophia Evers;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40229784
10;80;198471;;;Britt Aaen Olesen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22778979
10;80;198498;;;Lise Bisgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23812081
10;80;198501;;;Mathias Vognstrup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;53661033
10;80;198528;;;Helene Bisgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;27570931
10;80;198536;;;Anja Louisa Bavnbæk Eftekhari;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20633237
10;80;198544;;;Ditte Sloth;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22825312
10;80;198552;;;Thomas Hedebo Hansen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22906725
10;80;198560;;;Regitze Johnsen Høy;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51506653
10;80;198579;;;Trine Uttrup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28777205
10;80;198587;;;Rana Baban;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29264702
10;80;198595;;;Sara Mølgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29430728
10;80;198609;;;Amalie Made Hagelskjær;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61330775
10;80;198617;;;Anne Katrine Bisgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26213586
10;80;198625;;;Siv Johanne Tvorup Blaaberg;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;42178980
10;80;198633;;;Christine Møller Jensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;42224872
10;80;198641;;;Malene Sofie Møller Klit;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61543839
10;80;198668;;;Henrik Krogh Vagn Madsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40797493
10;80;198676;;;Geerthana Ratnasingam;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60660291
10;80;198684;;;Steffen Holst Holmvard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61302565
10;80;198692;;;Cecilie Skaarup Fink;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61260953
10;80;198706;;;Sofie Vejby Thorndahl;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60153107
10;80;198714;;;Rune Zimmer Søndermølle;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30227906
10;80;198722;;;Rasmus Lund;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22514616
10;80;198730;;;Caroline Frederike Haals;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40958950
10;80;198749;;;Mikkel Filholm Lange;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28265718
10;80;198757;;;Ali Moumneh;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23482642
10;80;198765;;;Christian Hvidtfeldt Larsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;27859952
10;80;198773;;;Ida Olsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26153144
10;80;198781;;;Jesper Amstrup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29678171
10;80;198803;;;Jesper Dahl Stender;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40326248
10;80;198811;;;Inge Agnete Gerlach Brandt;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28449523
10;80;198838;;;Ida Müller Kollerup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51160547
10;80;198846;;;Christian Bisp Sørensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40209276
10;80;198854;;;Anders Bildgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28909819
10;80;198862;;;Cathrine Nørgaard Skovgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;41273391
10;80;198870;;;Julie Læbel Svendsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23383808
10;80;198889;;;Anne Louise Kjær Olesen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;21791398
10;80;198897;;;Stine Nyby;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60247989
10;80;198900;;;Mathias Såby Poulsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;21762093
10;80;198919;;;Kristian Bruun Barup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40467333
10;80;198927;;;Karoline Janniche;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22960992
10;80;198935;;;Dennis Christian Andersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26253339
10;80;198943;;;Maria Rytter de Place;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40501499
10;80;198951;;;Sofie Dagmar Studsgaard Slot;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;25130456
10;80;198978;;;Frederik Larsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26240447
10;80;198994;;;Marie C. H. Broberg;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23619212
10;80;199001;;;Rasmus Lorentzen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26277758
10;80;199036;;;Caroline Holm Nørgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40283420
10;80;199052;;;Malene Svart;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60227304
5;80;52027;;EG Clinea;Lægerne Gasvej 5;Gasvej 5;8700;Horsens;82;Region Midtjylland;5790000128372;75629311
5;80;52078;;EG Clinea;Lægehuset i Tørring;Torvegade 12;7160;Tørring;82;Region Midtjylland;5790000127580;75801611
5;80;52116;;NOVAX;Lægerne i Østbirk;Storegade 45;8752;Østbirk;82;Region Midtjylland;5790000136667;75781066
5;80;52329;;EG Clinea;Lægehuset Juelsminde;E Schous Alle 6;7130;Juelsminde;82;Region Midtjylland;5790000130887;75693688
5;80;52337;;EG Clinea;Lægerne Rasmussen;Rædersgade 7;8700;Horsens;82;Region Midtjylland;5790000131815;75625633
5;80;52523;;CGM XMO;Lægerne Sundhedshuset 3. sal vest;Grønlandsvej 1,3,-2;8700;Horsens;82;Region Midtjylland;5790000137459;75613300
5;80;52590;;CGM XMO;Amalielægerne;Grønlandsvej 3,3;8700;Horsens;82;Region Midtjylland;5790000129003;75625100
5;80;52736;;EG Clinea;Lægerne Sundhedshuset 2. sal;Grønlandsvej 1,2.;8700;Horsens;82;Region Midtjylland;5790000128297;75625022
5;80;53058;;CGM XMO;Lægehuset i Uldum;Kirkegade 18;7171;Uldum;82;Region Midtjylland;5790000149827;75678900
5;80;54321;;EG Clinea;Lægerne Egevej;Egevej 7 A;8783;Hornsyld;82;Region Midtjylland;5790000129188;75687433
5;80;54429;;CGM XMO;Læge Henrik Wibrand;Grønlandsvej 1,1,-05;8700;Horsens;82;Region Midtjylland;5790000140275;75626777
5;80;55506;;CGM XMO;Lægeklinikken Apotekerbakken;Apotekerbakken 22;8783;Hornsyld;82;Region Midtjylland;5790000174300;75687766
5;80;57037;;EG WinPLC;Lægerne Cityhuset;Bredgade 33,1;7400;Herning;82;Region Midtjylland;5790002004636;97120200
5;80;57045;;CGM XMO;Lægerne i Brande I/S;Stationsvej 3,st;7330;Brande;82;Region Midtjylland;5790000139750;97180144
5;80;57061;;NOVAX;Læge Søs E. Rahbek;Østergrave 4,2;8900;Randers C;82;Region Midtjylland;5790002505935;86436200
5;80;57088;;EG Clinea;Kolind Lægehus;Højsletvej 13;8560;Kolind;82;Region Midtjylland;5790002014529;38400086
5;80;57118;;CGM XMO;Familielægerne Viborg;Sct. Mathias Gade 19,2 tv;8800;Viborg;82;Region Midtjylland;5790002015274;86613099
5;80;57126;;CGM XMO;Marselislægerne;Evald Krogs Gade 15,1;8000;Aarhus C;82;Region Midtjylland;5790002020834;86148686
5;80;57142;;EG Clinea;Læge Helena Grove;Østergade 1,2;8000;Aarhus C;82;Region Midtjylland;5790002506932;70206760
5;80;57177;;CGM XMO;Tilst Lægehus;Ertebjerg 102;8381;Tilst;82;Region Midtjylland;5790002026843;86242225
5;80;57185;;NOVAX;Ringkøbing Lægehus;Søibergsvej 24;6950;Ringkøbing;82;Region Midtjylland;5790000142675;96743030
5;80;57193;;CGM XMO;Lægerne Nørredige;Nørredige 28;6950;Ringkøbing;82;Region Midtjylland;5790000152414;97320118
5;80;57207;;CGM XMO;Læge Sidse Kjærholm, Ry Sundhedshus;Rugaarden 5;8680;Ry;82;Region Midtjylland;5790002028830;86891044
5;80;57215;;EG Clinea;HelsecenterMidt Borris;Borgergade 1 A;6900;Skjern;82;Region Midtjylland;5790002029080;97366027
5;80;57231;;EG WinPLC;Læge Jannik Kruse Nielsen;Vestergade 1 B,3;7800;Skive;82;Region Midtjylland;5790002030482;97520200
5;80;57266;;EG Clinea;Lægerne Sønderhøj;Sønderhøj 16,st;8260;Viby J;82;Region Midtjylland;5790002269684;86140411
5;80;57274;;CGM XMO;Struer Lægecenter;Bredgade 67,1. t.h.;7600;Struer;82;Region Midtjylland;5790000132867;97851233
5;80;57312;;NOVAX;Spjald Lægehus I/S;Blomstermarken 5;6971;Spjald;82;Region Midtjylland;5790002276576;97381600
5;80;57347;;CGM XMO;Læge Dorte Landbo;Kompagnigade 3,1;7800;Skive;82;Region Midtjylland;5790002279706;73709006
5;80;57355;;CGM XMO;Lægerne Østerbro;Østerbro 5,st;7800;Skive;82;Region Midtjylland;5790002279096;97520900
5;80;57363;;CGM XMO;Lægeklinikken Tordenskjoldsgade;Tordenskjoldsgade 21,3 th;8200;Aarhus N;82;Region Midtjylland;5790002278846;86161255
5;80;57371;;CGM XMO;Lægerne Thøgersen og Byskov;Bjerregårdsvej 2;7500;Holstebro;82;Region Midtjylland;5790002280627;97410444
5;80;57398;;EG WinPLC;Hvide Sande Lægehus;Nørregade 66;6960;Hvide Sande;82;Region Midtjylland;5790001351960;97311023
5;80;57428;;CGM XMO;Læge Philipp Harbig;Nordvestpassagen 69;8200;Aarhus N;82;Region Midtjylland;5790002280696;82821182
5;80;57444;;CGM XMO;Læge Mille B. Morberg;Vesterbrogade 8,3 th;8800;Viborg;82;Region Midtjylland;5790002285974;86627600
5;80;57487;;CGM XMO;Læge Lene Hald;Vesterbrogade 8,3 th;8800;Viborg;82;Region Midtjylland;5790002281334;86623663
5;80;57495;;CGM XMO;Hanne Højtorp Sørensen Odder Lægehus;Vitaparkvej 3,1;8300;Odder;82;Region Midtjylland;5790000126552;86543200
5;80;57509;;EG WinPLC;Kirsten Slemming;Neptunvej 63;8260;Viby J;82;Region Midtjylland;5790002282126;82138260
5;80;57517;;CGM XMO;Rikke Kristoffersen - Odder Lægehus;Vitaparkvej 3,1;8300;Odder;82;Region Midtjylland;5790000126552;86543200
5;80;57533;;CGM XMO;Tim Lægehus;Stationsvej 6;6980;Tim;82;Region Midtjylland;5790000144983;97333411
5;80;57541;;EG Clinea;Læge Marie Geday;Østergade 1,2;8000;Aarhus C;82;Region Midtjylland;5790000147717;70206760
5;80;57568;;CGM XMO;Familielægerne;Bredgade 32;6990;Ulfborg;82;Region Midtjylland;5790000147366;73709860
5;80;57584;;NOVAX;Lægerne Skt. Clemens Bro;Skt. Clemens Torv 17,1;8000;Aarhus C;82;Region Midtjylland;5790002288289;88443200
5;80;57606;;CGM XMO;Jesper Nymann;Dytmærsken 9,2 tv;8900;Randers C;82;Region Midtjylland;5790002396342;86401555
5;80;57614;;EG WinPLC;Assentoft Lægeklinik;Storegade 57;8960;Randers SØ;82;Region Midtjylland;5790002396656;86495300
5;80;57630;;CGM XMO;Lægerne i Sunds;Rønne Alle 10;7451;Sunds;82;Region Midtjylland;5790002397790;79304075
5;80;57649;;EG Clinea;Læge Kirsten Linnebjerg Jensby;Langengevej 4;8240;Risskov;82;Region Midtjylland;5790000137985;86177426
5;80;57657;;CGM XMO;Læge Ane Søgaard;Nørregade 36,1;8000;Aarhus C;82;Region Midtjylland;5790002398162;86169513
5;80;57673;;EG Clinea;Molslægerne;Knebel Bygade 29;8420;Knebel;82;Region Midtjylland;5790002398315;86351080
5;80;57681;;EG Clinea;Lægerne Nørregade 10, 2;Nørregade 10,2.;7400;Herning;82;Region Midtjylland;5790000133284;97121344
5;80;57703;;CGM XMO;Lægerne på Torvet I/S;Torvet 4;7400;Herning;82;Region Midtjylland;5790000136810;97125688
5;80;57711;;CGM XMO;Lægerne Nørregade 10, 1;Nørregade 10,1.;7400;Herning;82;Region Midtjylland;5790000131860;97121244
5;80;57770;;EG Clinea;Læge Niels Bjørn;Østergade 1,2;8000;Aarhus C;82;Region Midtjylland;5790002401305;70206760
5;80;57789;;CGM XMO;Læge Anne Sloth;Dytmærsken 9,2;8900;Randers C;82;Region Midtjylland;5790002400957;86407777
5;80;57819;;EG Clinea;Lægehuset;Grønningen 5;7830;Vinderup;82;Region Midtjylland;5790000138692;97441811
5;80;57843;;CGM XMO;Lægehuset, afdeling Vest, ikast;Kongevejen 65;7430;Ikast;82;Region Midtjylland;5790000131594;96601260
5;80;57851;;EG Clinea;Lægerne i Ejstrupholm;Vestergade 23;7361;Ejstrupholm;82;Region Midtjylland;5790000129485;75772020
5;80;57878;;EG Clinea;Lægerne Stjernepladsen;A.H. Winges Vej 1;8200;Aarhus N;82;Region Midtjylland;5790002401428;86167021
5;80;57894;;EG Clinea;Læge Helle Kyrval;Sct. Mathias Gade 19 B,2 th.;8800;Viborg;82;Region Midtjylland;5790002402845;86621735
5;80;57908;;EG Clinea;Lægerne Poulsgade;Poulsgade 6,2 th;7400;Herning;82;Region Midtjylland;5790002403859;32227400
5;80;57916;;CGM XMO;Lægehuset Engesvang;Jernbanegade 38;7442;Engesvang;82;Region Midtjylland;5790000147526;86865400
5;80;57924;;EG Clinea;Lægerne i Tarm;Kirkegade 3;6880;Tarm;82;Region Midtjylland;5790000133604;97371066
5;80;57932;;CGM XMO;Lægerne ved Klippen;Østergade 10,3;7500;Holstebro;82;Region Midtjylland;5790002404474;97421011
5;80;57940;;CGM XMO;Læge Maria Dürr;Dytmærsken 9,3;8900;Randers C;82;Region Midtjylland;5790002403491;86421040
5;80;57967;;CGM XMO;Sundhedscentret John Grønkjær Jensen;Biografgade 3,4;8900;Randers C;82;Region Midtjylland;5790002405693;86410001
5;80;57975;;CGM XMO;Lægerne Østergade;Østergade 24;7620;Lemvig;82;Region Midtjylland;5790000146031;97821777
5;80;57991;;CGM XMO;Lægerne Kousgaards Plads;Nørregade 10,st;7400;Herning;82;Region Midtjylland;5790000133673;97128844
5;80;58009;;EG Clinea;Læge Sebastian Friis Abrahamsen;Langengevej 4;8240;Risskov;82;Region Midtjylland;5790002405105;86176164
5;80;58041;;EG Clinea;Læge Anette Henriksen;Elstedhøj 6;8520;Lystrup;82;Region Midtjylland;5790000126798;86227022
5;80;58068;;EG Clinea;Lægerne Kirstinelund;Skæringvej 110,1;8520;Lystrup;82;Region Midtjylland;5790002407314;82132200
5;80;58076;;CGM XMO;Balling Lægeklinik;Stadion Alle 1;7860;Spøttrup;82;Region Midtjylland;5790002407208;97561040
5;80;58092;;EG Clinea;Højbjerg Lægepraksis;Kvædevej 56;8270;Højbjerg;82;Region Midtjylland;5790002408045;86143234
5;80;58106;;NOVAX;Praktiserende læge Anders Brøndt;Park Allé 1,2 th;8000;Aarhus C;82;Region Midtjylland;5790002407840;86191900
5;80;58130;;CGM XMO;Lægerne Vestergade 8;Vestergade 8,1.;7500;Holstebro;82;Region Midtjylland;5790000135653;97412099
5;80;58157;;CGM XMO;Lægehuset Aulum;Rugbjergvej 12;7490;Aulum;82;Region Midtjylland;5790000135455;97472211
5;80;58165;;CGM XMO;Alles Lægehus Fursund;Fur Landevej 124;7870;Roslev;82;Region Midtjylland;5790002408946;97596100
5;80;58203;;CGM XMO;Lægerne Overgaard og Bakkestrøm;Bredgade 32;6990;Ulfborg;82;Region Midtjylland;5790000139262;70602288
5;80;58262;;CGM XMO;Lægehuset i Kibæk;Solbakken 30 a;6933;Kibæk;82;Region Midtjylland;5790000137992;97191611
5;80;58300;;EG WinPLC;Betina Sjøberg Wolff;Neptunvej 63;8260;Viby J;82;Region Midtjylland;5790002410468;82138260
5;80;58394;;CGM XMO;Læge Birgitte Borup;Birkevej 37;8410;Rønde;82;Region Midtjylland;5790002410918;86372866
5;80;58408;;CGM XMO;Skafsgaard, Mukai og Schmidt;Bryggergade 10,2;7400;Herning;82;Region Midtjylland;5790000131440;97210011
5;80;58424;;CGM XMO;Klinik for Almen Medicin;Østergade 30;7620;Lemvig;82;Region Midtjylland;5790002411557;78435080
5;80;58475;;NOVAX;Lægeklinik Signe Brøndt;Park Allé 1,2 th;8000;Aarhus C;82;Region Midtjylland;5790002412042;86121032
5;80;58491;;CGM XMO;Lægen Helenestræde;Helenestræde 3,1;8900;Randers C;82;Region Midtjylland;5790002412080;71710477
5;80;58513;;CGM XMO;Brædstrup Lægehus;Tinghuspladsen 4;8740;Brædstrup;82;Region Midtjylland;5790000128563;75751611
5;80;58548;;CGM XMO;Centrumlægerne Skive;Slotsgade 7,st th;7800;Skive;82;Region Midtjylland;5790002412691;82134000
5;80;58556;;CGM XMO;Lægeklinikken Bent Larsen;Kompagnigade 3;7800;Skive;82;Region Midtjylland;5790002413162;88442204
5;80;58696;;EG WinPLC;Lægerne Gyldenløvesgade;Gyldenløvesgade 10;8200;Aarhus N;82;Region Midtjylland;5790002414428;86167766
5;80;58750;;CGM XMO;Dine læger Leth, Bøg og Damgaard;Sygehusvej 7,3;8660;Skanderborg;82;Region Midtjylland;5790000138494;86521348
5;80;58785;;CGM XMO;Familielægerne Silkeborg;Vestergade 2 A,2;8600;Silkeborg;82;Region Midtjylland;5790002505911;86800088
5;80;58920;;EG Clinea;Lægehuset Fonnesbæk;Thrigesvej 11 B;7430;Ikast;82;Region Midtjylland;5790000143122;70262323
5;80;59021;;CGM XMO;Læge Michael Kirkeby Hoffmann;Ved Fjorden 6 B,2 tv;7600;Struer;82;Region Midtjylland;5790000147724;97851322
5;80;59056;;CGM XMO;Lægerne Fleng & Sørensen;Banetoften 28;7500;Holstebro;82;Region Midtjylland;5790001388324;97411444
5;80;59099;;EG WinPLC;Boelskifte, Aasborg og Hansen;Ågårdsvej 2;7480;Vildbjerg;82;Region Midtjylland;5790000143511;97132322
5;80;59110;;EG Clinea;Susanne Schovsbo;Lille Østergade 5,1;7500;Holstebro;82;Region Midtjylland;5790001349936;96127100
5;80;59188;;CGM XMO;Lægerne Vesterager & Tved I/S;Bredgade 67,1;7600;Struer;82;Region Midtjylland;5790001378455;97850055
5;80;59250;;CGM XMO;Læge Michael Bruun;Ved Fjorden 6 B,2 tv;7600;Struer;82;Region Midtjylland;5790001386429;96900240
5;80;59269;;CGM XMO;Lægehuset i Skive;Nørregade 44;7800;Skive;82;Region Midtjylland;5790001985028;96167000
5;80;59277;;CGM XMO;Læge Lisbeth Falkenberg;Kompagnigade 3,1;7800;Skive;82;Region Midtjylland;5790000132607;97522011
5;80;59285;;CGM XMO;alles Lægehus Thyborøn;Ærøvej 1;7680;Thyborøn;82;Region Midtjylland;5790002506796;97832300
5;80;59293;;EG Clinea;Hjortshøj Lægehus;Hundkærvej 9;8530;Hjortshøj;82;Region Midtjylland;5790002507410;88917151
5;80;59307;;CGM XMO;Læge Henrik Vissinger;Østervold 20,2;8900;Randers C;82;Region Midtjylland;5790002507755;71710017
5;80;59315;;CGM XMO;Vorgod Lægehus;Nørlundvej 3;6920;Videbæk;82;Region Midtjylland;5790002505898;96943000
5;80;59358;;CGM XMO;Lægeklinik Landsbyen Sølund;Dyrehaven 10;8660;Skanderborg;82;Region Midtjylland;5790001379018;87948271
5;80;59374;;EG Clinea;Midtbyens Lægehus;Lille Østergade 3 B,1;7500;Holstebro;82;Region Midtjylland;5790002512032;32223310
5;80;59382;;EG Clinea;Lægerne Sct. Jørgens Gade 17;Sct Jørgens Gade 17;7500;Holstebro;82;Region Midtjylland;5790002511844;32223231
5;80;59390;;CGM XMO;Lægerne i Hovedgård;Stationsvej 4 b;8732;Hovedgård;82;Region Midtjylland;5790002514005;75661999
5;80;59404;;EG Clinea;Familielægen Højbjerg;Rosenvangs Allé 213;8270;Højbjerg;82;Region Midtjylland;5790002513503;82131810
5;80;59412;;CGM XMO;alles Lægehus Thyholm;Sønderlandsgade 5;7790;Thyholm;82;Region Midtjylland;5790002514418;73708940
5;80;59455;;CGM XMO;Esben Sommer Nielsen - Odder Lægehus;Vitaparkvej 3,1;8300;Odder;82;Region Midtjylland;5790000126552;86543200
5;80;59463;;EG Clinea;Lægehuset Ryomgård;Jernbanegade 13 B;8550;Ryomgård;82;Region Midtjylland;5790002516313;86394422
5;80;59471;;CGM XMO;Læge Camilla Rostgaard Berthelsen;Evald Krogs Gade 15,2;8000;Aarhus C;82;Region Midtjylland;5790002516856;86147788
5;80;59498;;CGM XMO;Ø-lægen på Anholt;Nordstrandvej 5;8592;Anholt;82;Region Midtjylland;5790002516658;86319005
5;80;59501;;CGM XMO;Lægerne på Toppen;Grønlandsvej 1,3;8700;Horsens;82;Region Midtjylland;5790002518256;32223001
5;80;59528;;EG Clinea;Lægen i Midtbyen;Rædersgade 3,1 tv;8700;Horsens;82;Region Midtjylland;5790002408113;82131317
5;80;59536;;EG Clinea;Lægerne Frisenborgparken;Frisenborgparken 34;7430;Ikast;82;Region Midtjylland;5790002519260;96603300
5;80;59544;;CGM XMO;Lægerne Birkmosevej;Birkmosevej 1;6950;Ringkøbing;82;Region Midtjylland;5790002519468;32226950
5;80;59552;;CGM XMO;Læge Helga Gøtke;Grønlandsvej 1,1,-5;8700;Horsens;82;Region Midtjylland;5790002519895;75626777
5;80;59560;;CGM XMO;Lægerne 3øst;Grønlandsvej 1,3;8700;Horsens;82;Region Midtjylland;5790000125241;75602311
5;80;59579;;NOVAX;Almen Lægeklinik Glesborg;Doktorvej 6;8585;Glesborg;82;Region Midtjylland;5790002520358;69160281
5;80;59587;;EG WinPLC;Læge Inta Andersen;Silkeborgvej 268,1;8230;Åbyhøj;82;Region Midtjylland;5790002520433;86158922
5;80;59595;;CGM XMO;Lægerne Randers Centrum;Dytmærsken 9,3;8900;Randers C;82;Region Midtjylland;5790000134434;86425575
5;80;59609;;EG Clinea;Familiens Lægehus;Nygade 25,1;8600;Silkeborg;82;Region Midtjylland;5790002522758;82827250
5;80;59625;;EG Clinea;Hedensted Lægehus;Årupvej 6;8722;Hedensted;82;Region Midtjylland;5790000128242;75891811
5;80;59641;;EG Clinea;Familielægerne;Niels Brocks Gade 8,1;8900;Randers C;82;Region Midtjylland;5790002523236;73708930
5;80;59668;;EG Clinea;Læge Hans Tinggaard;Østervold 20,4;8900;Randers C;82;Region Midtjylland;5790002618963;86432500
5;80;59676;;CGM XMO;Lægehuset Banegårdspladsen 6;Banegårdspladsen 6,1 tv;8000;Aarhus C;82;Region Midtjylland;5790000145447;86124755
5;80;59684;;CGM XMO;Lægeklinikken Aros;Park Allé 3,2 th;8000;Aarhus C;82;Region Midtjylland;5790002618383;86191611
5;80;59692;;CGM XMO;Bøvlingbjerg Lægehus;Fårevej 143;7650;Bøvlingbjerg;82;Region Midtjylland;5790002523656;70602464
5;80;59706;;CGM XMO;Lægehuset Østervold;Østervold 20,4;8900;Randers C;82;Region Midtjylland;5790002619489;73709064
5;80;59714;;CGM XMO;Lægerne ved Slotspladsen;Østervold 28,2 th;8900;Randers C;82;Region Midtjylland;5790002619304;73709058
5;80;59722;;CGM XMO;Alles Lægehus Holstebro;Lille Østergade 3 B,2;7500;Holstebro;82;Region Midtjylland;5790002619380;97424344
5;80;59757;;CGM XMO;Videbæk Lægehus;Ørnevej 9;6920;Videbæk;82;Region Midtjylland;5790002618635;97171911
5;80;59765;;CGM XMO;Adelgade Lægeklinik;Adelgade 2,1 tv;7800;Skive;82;Region Midtjylland;5790002620294;73709290
5;80;59773;;EG WinPLC;Viby Lægehus;Viby Ringvej 11,2 th;8260;Viby J;82;Region Midtjylland;5790002277160;86232425
5;80;59803;;CGM XMO;Læge Karen Kjær Larsen;Evald Krogs Gade 15,2;8000;Aarhus C;82;Region Midtjylland;5790002621482;82134040
5;80;59811;;CGM XMO;Lægerne Vennelystparken;Høegh-Guldbergs Gade 6 A;8000;Aarhus C;82;Region Midtjylland;5790002622038;86131828
5;80;59838;;NOVAX;Læge Line Staehelin;Store Torv 6,4;8000;Aarhus C;82;Region Midtjylland;5790002622205;69171791
5;80;59846;;CGM XMO;Lægerne Venø Bugten;Ved Fjorden 6 B,2 th;7600;Struer;82;Region Midtjylland;5790002622465;70602106
5;80;59854;;CGM XMO;Læge Anne Mette Lind;Vesterbrogade 8,2 th;8800;Viborg;82;Region Midtjylland;5790002622908;86602066
5;80;59862;;CGM XMO;Lægeklinikken i Havndal Sundhedshus;Kirkevej 2 B,1;8970;Havndal;82;Region Midtjylland;5790002622366;86470700
5;80;59870;;EG WinPLC;Familielægerne Åbyhøj;Silkeborgvej 268,1;8230;Åbyhøj;82;Region Midtjylland;5790002623622;86157077
5;80;59889;;CGM XMO;Lægerne Østergade 29;Østergade 29;8450;Hammel;82;Region Midtjylland;5790000139033;86961199
5;80;59897;;CGM XMO;Horsens Lægerne Rådhustorvet;Rådhustorvet 11,st;8700;Horsens;82;Region Midtjylland;5790002624162;73708332
5;80;59900;;EG WinPLC;Lægeklinikken Juliussensvej;J Chr Juliussens Vej 5,2 th;8700;Horsens;82;Region Midtjylland;5790000125036;75625201
5;80;59919;;CGM XMO;Lægerne Idriss Kise Galten;Torvet 1,1;8464;Galten;82;Region Midtjylland;5790002625480;86957006
5;80;59927;;CGM XMO;Lemvig Lægehus;Vænget 10,3;7620;Lemvig;82;Region Midtjylland;5790002625138;97820039
5;80;59935;;CGM XMO;Fårup Lægecenter;Stadion Alle 1;8990;Fårup;82;Region Midtjylland;5790002623851;86452211
5;80;59943;;NOVAX;Almen Lægeklinik Randers;Østervold 30,1;8900;Randers C;82;Region Midtjylland;5790002626524;69161733
5;80;59951;;NOVAX;Almen Lægeklinik Hedensted;Bytorvet 10;8722;Hedensted;82;Region Midtjylland;5790002626500;69169818
5;80;59978;;NOVAX;Almen Lægeklinik Horsens;Emil Møllers Gade 41 F;8700;Horsens;82;Region Midtjylland;5790002626531;69152534
5;80;59986;;NOVAX;Almen Lægeklinik Holstebro;Nørregade 58,1;7500;Holstebro;82;Region Midtjylland;5790002626517;69169830
5;80;59994;;CGM XMO;Regionsklinikken Skjern;Tinghusvej 4,st;6900;Skjern;82;Region Midtjylland;5790002626876;70305844
